Region	Pop	Flow
	L[313760105000186]*	15
M[313760105000283]	478
	L[313760105000255]	455
	L[313760105000255]*	22
M[313760105000284]	64
	L[313760105000102]	51
	L[313760105000102]*	2
	L[SHC1]	9
	L[SHC1]*	0
M[313760105000285]	181
	L[313760105000285]	181
M[313760114000002]	133
	L[313760105000271]	100
	L[313760105000271]*	5
	L[SHC1]	19
	L[SHC1]*	0
	L[THC1]	6
	L[THC1]*	0
M[313760114000007]	345
	L[313760105000271]	259
	L[313760105000271]*	12
	L[SHC1]	51
	L[SHC1]*	2
	L[THC1]	17
	L[THC1]*	0
M[313760114000008]	270
	L[313760105000271]	210
	L[313760105000271]*	10
	L[SHC1]	40
	L[SHC1]*	2
	L[THC1]	6
	L[THC1]*	0
M[313760114000009]	23
	L[313760105000271]	18
